Title|Year|Genre|Avg Ratings|Votes|Gross
Beats|(II) (2019)|Comedy,Crime,Drama|7.1|3,808|
Always Be My Maybe|(2019)|Comedy,Romance|6.8|51,329|
The Art of Racing in the Rain|(2019)|Comedy,Drama,Romance|7.6|28,199|$25.50M
Abominable|(2019)|Animation,Adventure,Comedy|7.0|34,566|$60.72M
Yesterday|(III) (2019)|Comedy,Fantasy,Music|6.8|139,497|$73.29M
Shaft|(2019)|Action,Comedy,Crime|6.4|49,811|$21.36M
Ad Astra|(2019)|Adventure,Drama,Mystery|6.5|216,333|$35.40M
The Professor|(2018)|Comedy,Drama|6.7|28,781|
Jumanji: The Next Level|(2019)|Action,Adventure,Comedy|6.7|217,867|$316.83M
Otherhood|(2019)|Comedy|6.1|10,595|
Secret Obsession|(2019)|Thriller|4.4|20,148|
The King's Man|(2021)|Action,Adventure,Comedy|||
Doctor Strange in the Multiverse of Madness|(2022)|Action,Adventure,Fantasy|||
Thor: Love and Thunder|(2022)|Action,Adventure,Fantasy|||
Sextuplets|(2019)|Comedy|4.5|8,059|
Artemis Fowl|(2020)|Adventure,Family,Fantasy|4.2|26,131|
Dolemite Is My Name|(2019)|Biography,Comedy,Drama|7.3|57,889|
Last Christmas|(2019)|Comedy,Drama,Fantasy|6.5|61,771|
Ready or Not|(I) (2019)|Action,Comedy,Horror|6.9|130,501|$26.74M
The Jack in the Box|(2019)|Horror|4.2|1,274|
The Death of Dick Long|(2019)|Comedy,Crime,Drama|6.3|4,425|
Underwater|(2020)|Adventure,Horror,Sci-Fi|5.8|73,184|
Driven|(I) (2018)|Biography,Drama,Thriller|6.4|6,335|
Honey Boy|(2019)|Drama|7.3|33,497|
Corporate Animals|(2019)|Comedy,Horror|4.3|3,130|
Angel Has Fallen|(2019)|Action,Thriller|6.4|89,622|$67.16M
Villains|(I) (2019)|Comedy,Drama,Horror|6.2|11,763|
Jexi|(2019)|Comedy,Romance,Sci-Fi|6.1|24,074|
Noelle|(2019)|Adventure,Comedy,Family|6.3|18,320|
Lady and the Tramp|(2019)|Adventure,Comedy,Family|6.3|19,775|
Stargirl|(2020)|Comedy,Drama,Fantasy|6.2|4,835|
El Camino: A Breaking Bad Movie|(2019)|Action,Crime,Drama|7.3|208,124|
Antlers|(2021)|Drama,Horror,Mystery|6.4|3,544|
Jacob's Ladder|(2019)|Horror,Thriller|3.5|2,856|
I Still Believe|(2020)|Biography,Drama,Music|6.5|10,495|
The King|(I) (2019)|Biography,Drama,History|7.3|104,873|
The Laundromat|(I) (2019)|Comedy,Crime,Drama|6.3|47,929|
Tall Girl|(2019)|Comedy,Drama,Family|5.2|20,163|
Doctor Sleep|(2019)|Drama,Fantasy,Horror|7.3|169,315|
Haunt|(I) (2019)|Horror,Thriller|6.3|25,486|
Freaks|(2018)|Drama,Mystery,Sci-Fi|6.7|31,300|
Jojo Rabbit|(2019)|Comedy,Drama,War|7.9|343,360|$0.35M
Countdown|(III) (2019)|Horror,Thriller|5.4|31,537|
Uncut Gems|(2019)|Crime,Drama,Thriller|7.4|248,617|
Eli|(I) (2019)|Drama,Horror,Mystery|5.8|32,748|
6 Underground|(2019)|Action,Thriller|6.1|155,977|
Stuber|(2019)|Action,Comedy,Crime|6.2|44,628|$22.37M
Low Tide|(2019)|Drama,Thriller|6.3|2,349|
Free Guy|(2021)|Action,Adventure,Comedy|7.2|185,180|
Klaus|(2019)|Animation,Adventure,Comedy|8.2|121,460|
The Turning|(2020)|Drama,Horror,Mystery|3.8|12,153|
Dolittle|(2020)|Adventure,Comedy,Family|5.6|55,889|$77.05M
The Man Without Gravity|(2019)|Comedy,Drama,Fantasy|6.2|2,409|
Burn Your Maps|(2016)|Adventure,Comedy,Drama|6.7|1,392|
Let It Snow|(2019)|Comedy,Romance|5.8|19,426|
Bloodshot|(2020)|Action,Drama,Sci-Fi|5.7|71,137|
Just Getting Started|(2017)|Comedy,Crime||6,906|$6.07M
Knives Out|(2019)|Comedy,Crime,Drama||543,808|$165.36M
Soul|(2020)|Animation,Adventure,Comedy||283,259|
The Knight Before Christmas|(2019)|Adventure,Comedy,Drama||15,896|
Ma|(2019)|Horror,Mystery,Thriller||49,866|$45.37M
The Invisible Man|(I) (2020)|Drama,Horror,Mystery|7.1|196,786|$70.41M
Playing with Fire|(I) (2019)|Comedy,Family|5.1|12,955|
Fantasy Island|(2020)|Action,Adventure,Fantasy|4.9|43,957|
Holiday Rush|(2019)|Comedy,Drama,Family|4.9|2,372|
A Beautiful Day in the Neighborhood|(2019)|Biography,Drama|7.3|70,515|$61.70M
The SpongeBob Movie: Sponge on the Run|(2020)|Animation,Adventure,Comedy|6.0|15,622|
The Mandela Effect|(2019)|Drama,Sci-Fi,Thriller|5.7|3,187|
The Turkey Bowl|(2019)|Comedy|5.6|3,134|
The Irishman|(2019)|Biography,Crime,Drama|7.8|354,749|$7.00M
Antebellum|(2020)|Drama,Horror,Mystery|5.7|23,578|
The Call of the Wild|(2020)|Adventure,Drama,Family|6.8|44,447|$62.34M
Daniel Isn't Real|(2019)|Crime,Drama,Fantasy|6.1|7,701|
The Silence|(II) (2019)|Drama,Horror,Sci-Fi|5.3|42,101|
Little Evil|(2017)|Comedy,Horror|5.7|20,413|
Black Widow|(2021)|Action,Adventure,Sci-Fi|6.8|264,104|
Marriage Story|(2019)|Comedy,Drama,Romance|7.9|276,328|$2.00M
The Grudge|(2020)|Fantasy,Horror|4.3|23,296|
A Quiet Place Part II|(2020)|Drama,Horror,Sci-Fi|7.3|171,512|
To All the Boys: P.S. I Still Love You|(2020)|Comedy,Drama,Romance|6.0|34,219|
The Room|(2019)|Drama,Horror,Mystery|6.0|18,357|
Can You Keep a Secret?|(2019)|Comedy,Romance|5.3|13,137|$0.03M
Brahms: The Boy II|(2020)|Drama,Horror,Mystery|4.7|14,802|
Like a Boss|(2020)|Comedy|4.6|12,551|
The Peanut Butter Falcon|(2019)|Adventure,Comedy,Drama|7.6|83,424|$13.12M
The Lodge|(2019)|Drama,Horror,Mystery|6.1|39,970|
The Wave|(2019)|Sci-Fi,Thriller|6.1|4,247|
Tenet|(2020)|Action,Sci-Fi,Thriller|7.4|432,810|$58.46M
Dune|(2021)|Action,Adventure,Drama|8.2|272,038|
Plus One|(I) (2019)|Comedy,Drama,Romance|6.6|9,711|
The Secret Garden|(2020)|Drama,Family,Fantasy|5.5|7,757|
Morbius|(2022)|Action,Adventure,Drama|||
Guns Akimbo|(2019)|Action,Comedy,Crime|6.3|54,115|
The Night Clerk|(2020)|Crime,Drama,Mystery|5.6|13,524|
Code 8|(2019)|Action,Crime,Drama|6.1|37,502|
Fractured|(I) (2019)|Mystery,Thriller|6.4|65,606|
Color Out of Space|(2019)|Horror,Mystery,Sci-Fi|6.2|42,072|
Lost Girls|(2020)|Crime,Drama,Mystery|6.1|19,776|
The Lovebirds|(2020)|Action,Comedy,Crime|6.1|23,937|
Spenser Confidential|(2020)|Action,Comedy,Crime|6.2|80,545|
Horse Girl|(I) (2020)|Drama,Mystery,Thriller|6.0|16,497|
Vivarium|(2019)|Comedy,Horror,Mystery|5.8|48,657|
Holly Slept Over|(2020)|Comedy|5.5|1,581|
The Aeronauts|(2019)|Action,Adventure,Drama|6.6|30,731|
The House of Tomorrow|(2017)|Comedy,Drama|6.2|1,953|$0.04M
The Rhythm Section|(2020)|Action,Drama,Mystery|5.4|16,007|
Minions: The Rise of Gru|(2022)|Animation,Adventure,Comedy|||
All the Bright Places|(2020)|Drama,Romance|6.5|26,146|
Buffaloed|(2019)|Comedy,Drama|6.3|5,128|
Extra Ordinary|(2019)|Comedy,Fantasy,Horror|6.5|9,265|
Tuscaloosa|(2019)|Drama|5.2|274|
Candyman|(2021)|Horror,Thriller|6.0|39,869|
The Mitchells vs the Machines|(2021)|Animation,Adventure,Comedy|7.7|78,037|
Radium Girls|(2018)|Drama,History|6.3|1,393|
The Willoughbys|(2020)|Animation,Adventure,Comedy|6.4|16,701|
Mayhem|(2017)|Action,Comedy,Horror|6.4|19,762|
The Babysitter|(I) (2017)|Comedy,Horror|6.4|83,844|
Coffee & Kareem|(2020)|Action,Comedy,Crime|5.1|12,883|
Last Moment of Clarity|(2020)|Thriller|5.2|2,155|
The Platform|(2019)|Horror,Sci-Fi,Thriller|7.0|193,228|
How to Build a Girl|(2019)|Comedy|5.9|3,763|
The Half of It|(I) (2020)|Comedy,Drama,Romance|6.9|32,911|
Dangerous Lies|(2020)|Drama,Mystery,Thriller|5.3|15,869|
The Giant Mechanical Man|(2012)|Comedy,Drama,Romance|6.7|9,966|$0.01M
Bad Education|(2019)|Biography,Comedy,Crime|7.1|37,471|
Big Time Adolescence|(2019)|Comedy,Drama|7.0|10,500|
Bill & Ted Face the Music|(2020)|Adventure,Comedy,Music|6.0|41,141|
The King of Staten Island|(2020)|Comedy,Drama|7.1|53,875|
Feel the Beat|(2020)|Comedy,Drama,Family|6.3|9,918|
Desperados|(2020)|Comedy,Romance|5.2|9,578|
Palm Springs|(2020)|Comedy,Fantasy,Mystery|7.4|134,836|
The Broken Hearts Gallery|(2020)|Comedy,Romance|6.3|6,355|
You Should Have Left|(2020)|Horror,Thriller|5.4|18,964|
Yes, God, Yes|(2019)|Comedy,Drama|6.1|13,198|
Eurovision Song Contest: The Story of Fire Saga|(2020)|Comedy,Music|6.5|86,772|
An American Pickle|(2020)|Comedy|5.7|20,517|
The Kissing Booth 2|(2020)|Comedy,Romance|5.7|27,792|
Looks That Kill|(2020)|Comedy,Drama,Romance|6.4|3,298|
The Old Guard|(2020)|Action,Adventure,Fantasy|6.7|147,847|
A Nice Girl Like You|(2020)|Comedy,Romance|5.2|3,865|
